MC_AirCan:0.18450192006431562, MC_AirTop:0.0, MC_AirOut:-0.0294400000107288, 
MC_AirCan:0.17823771197314112, MC_AirTop:-0.011098659771982565, MC_AirOut:-0.035543055956872786, 
MC_AirCan:0.1782097774776096, MC_AirTop:-0.011106878175103316, MC_AirOut:-0.035569375156121644, 
MC_AirCan:0.17818184006019272, MC_AirTop:-0.011115092676728944, MC_AirOut:-0.03559568186095092, 
MC_AirCan:0.1781538997271961, MC_AirTop:-0.011123303277700922, MC_AirOut:-0.03562197607405542, 
MC_AirCan:0.17812595648493135, MC_AirTop:-0.011131509978860908, MC_AirOut:-0.03564825779813051, 
MC_AirCan:0.17809801033971576, MC_AirTop:-0.011139712781050722, MC_AirOut:-0.0356745270358721, 
MC_AirCan:0.1780700612978723, MC_AirTop:-0.011147911685112363, MC_AirOut:-0.03570078378997666, 
MC_AirCan:0.17804210936572992, MC_AirTop:-0.011156106691888002, MC_AirOut:-0.035727028063141215, 
MC_AirCan:0.17801415454962322, MC_AirTop:-0.011164297802219983, MC_AirOut:-0.03575325985806336, 
MC_AirCan:0.17798619685589254, MC_AirTop:-0.011172485016950834, MC_AirOut:-0.03577947917744123, 
MC_AirCan:0.177958236290884, MC_AirTop:-0.011180668336923246, MC_AirOut:-0.035805686023973535, 
MC_AirCan:0.1779302728609496, MC_AirTop:-0.011188847762980084, MC_AirOut:-0.035831880400359534, 
MC_AirCan:0.17790230657244688, MC_AirTop:-0.011197023295964403, MC_AirOut:-0.03585806230929906, 
MC_AirCan:0.17787433743173928, MC_AirTop:-0.01120519493671942, MC_AirOut:-0.0358842317534925, 
MC_AirCan:0.17784636544519594, MC_AirTop:-0.011213362686088536, MC_AirOut:-0.0359103887356408, 
MC_AirCan:0.1778183906191918, MC_AirTop:-0.011221526544915324, MC_AirOut:-0.0359365332584455, 
MC_AirCan:0.1777904129601075, MC_AirTop:-0.011229686514043534, MC_AirOut:-0.035962665324608664, 
MC_AirCan:0.17776243247432935, MC_AirTop:-0.011237842594317093, MC_AirOut:-0.035988784936832954, 
MC_AirCan:0.17773444916824946, MC_AirTop:-0.01124599478658011, MC_AirOut:-0.0360148920978216, 
MC_AirCan:0.17770646304826573, MC_AirTop:-0.011254143091676863, MC_AirOut:-0.03604098681027837, 
[-3.26028333e-02 -2.51581868e-05 -2.86448611e-02 -1.42699726e-03]
[ 442.58081827  667.82656848 2178.96209365 2052.26812654]

MC_AirCan:0.17767847414196986, MC_AirTop:-0.011262287510451819, MC_AirOut:-0.03606706907690763, 
MC_AirCan:0.1776504824133966, MC_AirTop:-0.011270428043751392, MC_AirOut:-0.036093138900418556, 
MC_AirCan:0.17762248789014726, MC_AirTop:-0.011278564692418442, MC_AirOut:-0.03611919628351241, 
MC_AirCan:0.17759449057864263, MC_AirTop:-0.011286697457298033, MC_AirOut:-0.03614524122889525, 
MC_AirCan:0.1775664904853091, MC_AirTop:-0.011294826339235394, MC_AirOut:-0.03617127373927374, 
MC_AirCan:0.17753848761657884, MC_AirTop:-0.011302951339075896, MC_AirOut:-0.0361972938173551, 
